image,det_count,gt_count,precision,recall
001.jpg,3,3,1.0000,1.0000
002.jpg,1,1,1.0000,1.0000
003.jpg,1,1,1.0000,1.0000
004.jpg,1,1,1.0000,1.0000
005.jpg,1,1,1.0000,1.0000
006.jpg,1,1,1.0000,1.0000
007.jpg,3,3,1.0000,1.0000
008.jpg,1,1,1.0000,1.0000
009.jpg,1,1,1.0000,1.0000
010.jpg,1,1,1.0000,1.0000
011.jpg,0,2,0.0000,0.0000
012.jpg,2,2,1.0000,1.0000
013.jpg,1,1,1.0000,1.0000
014.jpg,1,1,1.0000,1.0000
015.jpg,1,1,1.0000,1.0000
016.jpg,2,2,1.0000,1.0000
017.jpg,3,3,1.0000,1.0000
018.jpg,3,3,1.0000,1.0000
019.jpg,1,1,1.0000,1.0000
020.jpg,3,3,1.0000,1.0000
021.jpg,1,1,1.0000,1.0000
022.jpg,1,1,1.0000,1.0000
023.jpg,2,2,1.0000,1.0000
024.jpg,3,3,1.0000,1.0000
025.jpg,2,3,1.0000,0.6667
026.jpg,2,2,1.0000,1.0000
027.jpg,5,5,0.8000,0.8000
028.jpg,1,2,1.0000,0.5000
029.jpg,1,1,1.0000,1.0000
030.jpg,3,3,1.0000,1.0000
031.jpg,2,2,1.0000,1.0000
032.jpg,3,3,1.0000,1.0000
033.jpg,0,1,0.0000,0.0000
034.jpg,1,1,1.0000,1.0000
035.jpg,1,1,1.0000,1.0000
036.jpg,3,2,0.3333,0.5000
037.jpg,3,3,1.0000,1.0000
038.jpg,7,7,1.0000,1.0000
039.jpg,2,2,1.0000,1.0000
040.jpg,5,5,1.0000,1.0000
041.jpg,1,1,1.0000,1.0000
042.jpg,1,1,1.0000,1.0000
043.jpg,2,2,1.0000,1.0000
044.jpg,2,2,1.0000,1.0000
045.jpg,3,3,1.0000,1.0000
046.jpg,3,3,1.0000,1.0000
047.jpg,3,3,1.0000,1.0000
048.jpg,1,1,1.0000,1.0000
049.jpg,3,3,1.0000,1.0000
050.jpg,2,2,1.0000,1.0000
051.jpg,4,4,1.0000,1.0000
052.jpg,6,6,1.0000,1.0000
053.jpg,1,1,1.0000,1.0000
054.jpg,2,2,1.0000,1.0000
055.jpg,1,2,1.0000,0.5000
056.jpg,1,1,1.0000,1.0000
057.jpg,2,3,1.0000,0.6667
058.jpg,3,3,1.0000,1.0000
059.jpg,2,2,1.0000,1.0000
060.jpg,1,1,1.0000,1.0000
061.jpg,0,1,0.0000,0.0000
062.jpg,1,2,1.0000,0.5000
063.jpg,3,3,1.0000,1.0000
064.jpg,1,1,1.0000,1.0000
065.jpg,1,1,1.0000,1.0000
066.jpg,3,3,1.0000,1.0000
067.jpg,2,2,1.0000,1.0000
068.jpg,1,1,1.0000,1.0000
069.jpg,1,1,1.0000,1.0000
070.jpg,1,1,1.0000,1.0000
071.jpg,1,1,1.0000,1.0000
072.jpg,3,3,1.0000,1.0000
073.jpg,3,3,1.0000,1.0000
074.jpg,2,2,1.0000,1.0000
075.jpg,2,2,1.0000,1.0000
076.jpg,4,4,1.0000,1.0000
077.jpg,3,3,1.0000,1.0000
078.jpg,3,3,1.0000,1.0000
079.jpg,6,5,0.5000,0.6000
080.jpg,2,2,1.0000,1.0000
081.jpg,1,1,1.0000,1.0000
082.jpg,1,1,1.0000,1.0000
083.jpg,1,1,1.0000,1.0000
084.jpg,4,4,1.0000,1.0000
085.jpg,3,5,0.6667,0.4000
086.jpg,3,3,1.0000,1.0000
087.jpg,1,1,1.0000,1.0000
088.jpg,6,6,1.0000,1.0000
089.jpg,2,2,1.0000,1.0000
090.jpg,1,2,1.0000,0.5000
091.jpg,1,1,1.0000,1.0000
092.jpg,2,3,1.0000,0.6667
093.jpg,1,1,1.0000,1.0000
094.jpg,2,3,1.0000,0.6667
095.jpg,2,3,1.0000,0.6667
096.jpg,8,8,1.0000,1.0000
097.jpg,4,4,1.0000,1.0000
098.jpg,4,4,1.0000,1.0000
099.jpg,1,1,1.0000,1.0000
100.jpg,1,1,1.0000,1.0000
101.jpg,3,3,1.0000,1.0000
102.jpg,3,3,1.0000,1.0000
103.jpg,3,3,1.0000,1.0000
104.jpg,1,1,1.0000,1.0000
105.jpg,1,1,1.0000,1.0000
106.jpg,3,3,1.0000,1.0000
107.jpg,1,1,1.0000,1.0000
108.jpg,1,1,1.0000,1.0000
109.jpg,2,2,1.0000,1.0000
110.jpg,2,2,1.0000,1.0000
111.jpg,3,3,1.0000,1.0000
112.jpg,3,3,1.0000,1.0000
113.jpg,1,1,1.0000,1.0000
114.jpg,1,1,1.0000,1.0000
115.jpg,4,4,1.0000,1.0000
116.jpg,1,1,1.0000,1.0000
117.jpg,1,1,1.0000,1.0000
118.jpg,8,8,1.0000,1.0000
119.jpg,1,1,1.0000,1.0000
120.jpg,2,2,1.0000,1.0000
121.jpg,3,4,1.0000,0.7500
122.jpg,2,3,1.0000,0.6667
123.jpg,1,1,1.0000,1.0000
124.jpg,2,3,1.0000,0.6667
125.jpg,2,2,1.0000,1.0000
126.jpg,3,3,1.0000,1.0000
127.jpg,2,2,1.0000,1.0000
128.jpg,3,3,1.0000,1.0000
129.jpg,1,1,1.0000,1.0000
130.jpg,2,2,1.0000,1.0000
131.jpg,1,1,1.0000,1.0000
132.jpg,3,4,1.0000,0.7500
133.jpg,3,3,1.0000,1.0000
134.jpg,2,2,1.0000,1.0000
135.jpg,1,1,1.0000,1.0000
136.jpg,1,2,1.0000,0.5000
137.jpg,3,3,1.0000,1.0000
138.jpg,3,3,1.0000,1.0000
139.jpg,2,2,1.0000,1.0000
140.jpg,1,2,1.0000,0.5000
141.jpg,1,1,1.0000,1.0000
142.jpg,1,1,1.0000,1.0000
143.jpg,2,2,1.0000,1.0000
144.jpg,1,1,1.0000,1.0000
145.jpg,1,1,1.0000,1.0000
146.jpg,6,6,1.0000,1.0000
147.jpg,1,1,1.0000,1.0000
148.jpg,1,1,1.0000,1.0000
149.jpg,1,1,1.0000,1.0000
150.jpg,1,1,1.0000,1.0000
